iter	Passed	Remaining
405	6503	1505
406	6518	1489
407	6534	1473
408	6551	1457
409	6565	1441
410	6579	1424
411	6594	1408
412	6608	1392
413	6624	1376
414	6638	1359
415	6652	1343
416	6668	1327
417	6684	1311
418	6699	1295
419	6714	1278
420	6729	1262
421	6743	1246
422	6759	1230
423	6775	1214
424	6789	1198
425	6804	1182
426	6822	1166
427	6850	1152
428	6870	1137
429	6889	1121
430	6907	1105
431	6925	1090
432	6947	1075
433	6963	1058
434	6978	1042
435	6992	1026
436	7008	1010
437	7023	994
438	7037	977
439	7050	961
440	7064	945
441	7079	929
442	7094	912
443	7108	896
444	7122	880
445	7136	864
446	7151	847
447	7165	831
448	7179	815
449	7194	799
450	7209	783
451	7221	766
452	7235	750
453	7250	734
454	7264	718
455	7279	702
456	7293	686
457	7309	670
458	7325	654
459	7344	638
460	7363	622
461	7379	606
462	7394	590
463	7409	574
464	7423	558
465	7436	542
466	7450	526
467	7465	510
468	7480	494
469	7494	478
470	7508	462
471	7525	446
472	7541	430
473	7556	414
474	7571	398
475	7584	382
476	7598	366
477	7612	350
478	7625	334
479	7640	318
480	7655	302
481	7669	286
482	7685	270
483	7700	254
484	7715	238
485	7730	222
486	7744	206
487	7762	190
488	7785	175
489	7805	159
490	7825	143
491	7842	127
492	7859	111
493	7876	95
494	7891	79
495	7906	63
496	7923	47
497	7938	31
498	7953	15
499	7974	0
