iter	Logloss
0	0.6920054105
1	0.684180992
2	0.6765642182
3	0.6652756781
4	0.6636651041
5	0.6626720523
6	0.6606452999
7	0.6598748228
8	0.6586261673
9	0.6578410134
10	0.6570967869
11	0.6556218718
12	0.6549886574
13	0.6543570087
14	0.653753812
15	0.6530634752
16	0.6524374568
17	0.6518206177
18	0.651229928
19	0.6507612137
20	0.6501894709
21	0.6466867184
22	0.6392040316
23	0.6387751375
24	0.6377503979
25	0.6372595292
26	0.6361975409
27	0.6357254832
28	0.633662023
29	0.6327226427
30	0.6323512632
31	0.6313037082
32	0.6308402636
33	0.6293671578
34	0.6289676457
35	0.6286224283
36	0.6273583812
37	0.6270347013
38	0.6257071361
39	0.6188879472
40	0.6185477464
41	0.6181760285
42	0.6178314026
43	0.6118614425
44	0.6115402424
45	0.6113191165
46	0.6110269474
47	0.6107516502
48	0.6104754263
49	0.6093320989
50	0.609025873
51	0.6087530905
52	0.6074432829
53	0.6072267909
54	0.6069246042
55	0.6066571104
56	0.6063968728
57	0.6034884919
58	0.6033076386
59	0.6031099101
60	0.6028844476
61	0.6026639163
62	0.6023986431
63	0.6021854027
64	0.6016480112
65	0.6014414862
66	0.6012095931
67	0.6009281816
68	0.6006502654
69	0.6004184546
70	0.6001847269
71	0.5999727297
72	0.5997739858
73	0.5986937717
74	0.5984948634
75	0.5977667212
76	0.5975853396
77	0.5973811743
78	0.5966711028
79	0.5965138462
80	0.5963673758
81	0.5961228935
82	0.5959404017
83	0.5935075991
84	0.5925446094
85	0.5924238202
86	0.5922551669
87	0.5920559486
88	0.5912663363
89	0.5910924845
90	0.5904501493
91	0.5902926175
92	0.5887698748
93	0.5886575594
94	0.5885085332
95	0.5883516672
96	0.5882051335
97	0.5880392021
98	0.5879011455
99	0.5876543494
100	0.5851515474
101	0.5849997883
102	0.5848315636
103	0.5815932162
104	0.5753638661
105	0.5751964797
106	0.5750338584
107	0.5735451143
108	0.5734177774
109	0.5719551431
110	0.5718026833
111	0.5705390633
112	0.568391471
113	0.5682594132
114	0.5680553269
115	0.567887031
116	0.5669858879
117	0.566841271
118	0.5667193177
119	0.56657865
120	0.5664589725
121	0.5663651376
122	0.5662554667
123	0.5657055018
124	0.565576373
125	0.5629157799
126	0.5626994255
127	0.5625614005
128	0.5621293054
129	0.5611314694
130	0.5609985102
131	0.5603330685
132	0.5599510816
133	0.5594085738
134	0.5583963869
135	0.5575787337
136	0.5563631959
137	0.5562556917
138	0.5556448973
139	0.5549096255
140	0.5541608488
141	0.5540463826
142	0.5539331752
143	0.5538430665
144	0.553757163
145	0.5536229606
146	0.553523002
147	0.5534013666
148	0.5528089356
149	0.5525382012
150	0.5517100165
151	0.5515402577
152	0.5514362803
153	0.5513444398
154	0.5512421578
155	0.5511436621
156	0.5505959968
157	0.5504830947
158	0.5503856001
159	0.5498522494
160	0.5493228653
161	0.5486039024
162	0.548383489
163	0.5482545476
164	0.5481648461
165	0.5480665686
166	0.5479570487
167	0.547845706
168	0.547749256
169	0.5476755867
170	0.5475781996
171	0.547478063
172	0.5465971787
173	0.5454352191
174	0.545352194
175	0.5452564676
176	0.545152884
177	0.5439579633
178	0.5429271284
179	0.5428259274
180	0.5427432985
181	0.5422244048
182	0.5421271063
183	0.5418265605
184	0.5397377852
185	0.5386821532
186	0.5381502077
187	0.5376195235
188	0.5375232048
189	0.5374516492
190	0.5373681355
191	0.5372741108
192	0.5371903234
193	0.5370857103
194	0.5367565155
195	0.5366782367
196	0.5365806353
197	0.536201632
198	0.5361067841
199	0.5360210452
200	0.5359227068
201	0.5358403872
202	0.5354441363
203	0.5353578122
204	0.5352855543
205	0.5351919472
206	0.5351021183
207	0.5350479368
208	0.5349737835
209	0.5349088909
210	0.534846725
211	0.5347509756
212	0.5346709982
213	0.5346078161
214	0.5343269519
215	0.534245884
216	0.5337008267
217	0.5326267831
218	0.5325315517
219	0.5322076155
220	0.5321146869
221	0.5320304235
222	0.5317044756
223	0.5316058368
224	0.5315148921
225	0.5314470318
226	0.5313703891
227	0.5313067934
228	0.5308514962
229	0.5307608331
230	0.5306726823
231	0.5305897055
232	0.5304686505
233	0.5303726054
234	0.530279392
235	0.5301894367
236	0.5300979353
237	0.5300179382
238	0.5299252333
239	0.5295965446
240	0.5294855799
241	0.5294252438
242	0.529355696
243	0.529152062
244	0.5287842466
245	0.5287054419
246	0.5286270706
247	0.5284101761
248	0.5283253616
249	0.5282829587
250	0.5282008138
251	0.528124561
252	0.5280532062
253	0.5279956457
254	0.5279083252
255	0.5278303074
