iter	Logloss
0	0.6926156763
1	0.6920771618
2	0.6915377093
3	0.6910118479
4	0.6905175023
5	0.6900272797
6	0.6894899067
7	0.6890356785
8	0.6885597647
9	0.6880868953
10	0.6877026713
11	0.6872413759
12	0.6868306993
13	0.6863817385
14	0.6859361252
15	0.6855466364
16	0.6851232512
17	0.6847535066
18	0.6843285347
19	0.6839167704
20	0.6835396445
21	0.6832323549
22	0.6828717866
23	0.682508799
24	0.6821481852
25	0.6817512824
26	0.6814107492
27	0.6811011075
28	0.6807778711
29	0.6804310843
30	0.6801091107
31	0.6797796705
32	0.6794715353
33	0.6791877984
34	0.67887344
35	0.6785680312
36	0.678277587
37	0.6780121046
38	0.6777169472
39	0.6774349154
40	0.677160192
41	0.6768835576
42	0.6766166423
43	0.6763203015
44	0.676033174
45	0.6757434441
46	0.6754965271
47	0.6752319293
48	0.6750533392
49	0.6748221297
50	0.6745779933
51	0.6743219722
52	0.6741558146
53	0.6739519918
54	0.6737374589
55	0.6735079699
56	0.6732942541
57	0.6730576401
58	0.6728510799
59	0.6726109383
60	0.67239112
61	0.6721660071
62	0.6719511988
63	0.6717463703
64	0.671566368
65	0.6713938683
66	0.6711982135
67	0.6710084139
68	0.6708026288
69	0.6705687284
70	0.67036067
71	0.6701904059
72	0.669998459
73	0.669838099
74	0.6696746241
75	0.6694659908
76	0.6692902839
77	0.6691189323
78	0.6689239779
79	0.6687433366
80	0.6685695375
81	0.668396719
82	0.6682256329
83	0.6680343359
84	0.6678615334
85	0.6677066943
86	0.6675455677
87	0.6674161776
88	0.6672614034
89	0.6671274726
90	0.6669797045
91	0.6668627439
92	0.6667036837
93	0.6665518003
94	0.6663883034
95	0.6662286257
96	0.6661027422
97	0.6659498482
98	0.6657876806
99	0.6656534394
100	0.6655074926
101	0.6653825907
102	0.6652687274
103	0.6651552499
104	0.6650292152
105	0.6648895159
106	0.6647239141
107	0.6646049492
108	0.6644860977
109	0.6643548152
110	0.6642134012
111	0.6641004283
112	0.66398744
113	0.6638473753
114	0.6637294381
115	0.6635824967
116	0.6634648899
117	0.6633387884
118	0.6632106714
119	0.6630619059
120	0.6629455446
121	0.6627935375
122	0.6626761622
123	0.6625395822
124	0.6623980434
125	0.6622775996
126	0.6621569049
127	0.6620208007
128	0.6619049896
129	0.6617739594
130	0.6616677148
131	0.6615511456
132	0.6614426141
133	0.6613347034
134	0.6612437894
135	0.6611039095
136	0.6609577001
137	0.6608362353
138	0.6607194407
139	0.660631087
140	0.6605384821
141	0.6604249639
142	0.66033477
143	0.6602277551
144	0.66011903
145	0.6600071014
146	0.6599167141
147	0.6598050374
148	0.6597081171
149	0.6596140911
150	0.659519874
151	0.6594088912
152	0.6593202132
153	0.6592061304
154	0.6591062127
155	0.658982818
156	0.6588545196
157	0.6587583401
158	0.6586429649
159	0.6585453661
160	0.6584316396
161	0.6583488194
162	0.6582390188
163	0.6581481002
164	0.6580793945
165	0.6579819446
166	0.6578849282
167	0.6577517964
168	0.6576700715
169	0.6575789889
170	0.6575650034
171	0.6574751777
172	0.6573741934
173	0.657320245
174	0.6572102608
175	0.6570901867
176	0.656977973
177	0.6568745779
178	0.6567770248
179	0.6566781239
180	0.6565652027
181	0.6564309429
182	0.6563359423
183	0.6562399812
184	0.6561383814
185	0.6560406228
186	0.6559395805
187	0.655852142
188	0.6557550524
189	0.6556482759
190	0.6555738728
191	0.6554761176
192	0.6553501261
193	0.6552769451
194	0.6551875731
195	0.6550903021
196	0.6549928033
197	0.6548993778
198	0.654789231
199	0.6547229798
