iter	Logloss
0	0.6914393127
1	0.6900617659
2	0.6886847675
3	0.6870080054
4	0.6851017416
5	0.6837766826
6	0.681886363
7	0.680687052
8	0.6790343225
9	0.6772303343
10	0.6754315495
11	0.6736419141
12	0.6723429263
13	0.670548445
14	0.6687196612
15	0.6672030926
16	0.6652122438
17	0.6636078775
18	0.662692076
19	0.6607904136
20	0.6586030304
21	0.6566510379
22	0.6556013346
23	0.6541734219
24	0.6527697086
25	0.6516306221
26	0.6499255598
27	0.6480051816
28	0.6467438936
29	0.6450446963
30	0.6429955781
31	0.6408265829
32	0.6394452453
33	0.6374510825
34	0.6360704422
35	0.635207355
36	0.6338329196
37	0.6324722052
38	0.6308808267
39	0.6286698937
40	0.6271841347
41	0.625838685
42	0.6240761101
43	0.62246176
44	0.6204277277
45	0.6191021562
46	0.6174962103
47	0.615483433
48	0.6141727746
49	0.6118619084
50	0.6105900645
51	0.6088182032
52	0.6075264335
53	0.6065051377
54	0.604752177
55	0.6036370635
56	0.6023611248
57	0.6012189031
58	0.5997187853
59	0.5984366536
60	0.5969155312
61	0.5953980863
62	0.5944051504
63	0.5929923654
64	0.5917415857
65	0.5905027092
66	0.5896129429
67	0.588054359
68	0.5863775551
69	0.5848955035
70	0.5841742098
71	0.5828441679
72	0.5814294398
73	0.5809675276
74	0.5796309114
75	0.5785655916
76	0.5775339544
77	0.5760772407
78	0.5747559428
79	0.5726308584
80	0.5716322899
81	0.5702053964
82	0.5684643865
83	0.5671670198
84	0.56587587
85	0.5645629048
86	0.5633385122
87	0.5616197944
88	0.5598262668
89	0.5584382713
90	0.5570369482
91	0.5561993897
92	0.5548069596
93	0.5532140613
94	0.5519699633
95	0.5503023744
96	0.5489380836
97	0.5476423204
98	0.5464123368
99	0.5449037135
100	0.5431796312
101	0.5422323525
102	0.5408874989
103	0.5398399115
104	0.5385093987
105	0.5374227524
106	0.5362024486
107	0.5348993599
108	0.5339098513
109	0.5327144802
110	0.5312986672
111	0.5301223397
112	0.5291270614
113	0.5279577017
114	0.5267904639
115	0.5253871202
116	0.524219656
117	0.5232392132
118	0.5221884191
119	0.5209099591
120	0.5195620835
121	0.5182527006
122	0.5172836483
123	0.516185075
124	0.5151333332
125	0.513718152
126	0.5124001682
127	0.5114886224
128	0.5102557242
129	0.5089877784
130	0.5080905437
131	0.5070283711
132	0.5059102833
133	0.5049140215
134	0.5038185596
135	0.5024313569
136	0.5018550098
137	0.500769943
138	0.4995418251
139	0.4982085764
140	0.4969742835
141	0.4962108612
142	0.4950418115
143	0.4942259431
144	0.4931566775
145	0.4919803858
146	0.4909225821
147	0.4897705078
148	0.4887190878
149	0.4875703424
150	0.4869770497
151	0.4862448543
152	0.4849344522
153	0.4839957505
154	0.4827206552
155	0.4814154983
156	0.4805918992
157	0.4794518143
158	0.4785309911
159	0.4773983717
160	0.4764628887
161	0.475152421
162	0.4740229219
163	0.4730745137
164	0.4721730888
165	0.4707294703
166	0.4698299468
167	0.4687449098
168	0.4679157585
169	0.4667863816
170	0.4658972889
171	0.4648287058
172	0.4634331793
173	0.4623528183
174	0.4613798738
